x           y            z
8,5 0 -2,3039296165317E-19
-370,869985925015 612,379133494159 -283,455905567202
-494,971267204765 519,771034892723 -436,396053978788
7,49741979412665 -40,4524572622906 -26,6155480475829
22,4864045334467 -34,8920697983216 -40,5080865549983
63,6239210362256 253,297446915635 -887,365426449553
324,841617148199 -167,66326097216 -1434,14328248217
-399,304716515665 720,364777499378 -47,490322241643
-349,142300093082 609,636822227282 -179,074284223989
-333,717900610581 594,678304755397 -335,544448121726
-307,354516666072 515,591998383564 -155,235602513754
-388,194948255788 653,794806214434 -293,397398617842
-386,646554852829 638,429345094401 -301,558307699809
-383,683862206888 621,237114897092 -338,93382976083
2,81277603637271 -8,9209858571715 -78,4442751404164
-366,746992691544 490,240823528398 -530,340059111045
-219,962577941837 264,007285900909 -609,849667784133
-287,78547878428 356,656453561974 -256,126321047835
6,14967249029194 -160,080499869348 -415,164322997343
-30,8463237827344 -47,6811569435863 -125,773652175691
-1043,21267790186 738,635748562829 236,906183139792
-16,0775937587769 -92,1204585387787 -38,1619194686652
-402,818674936774 -122,38567091603 546,679853915082
-581,512645240725 -777,32399658628 930,932568855697
-158,030560168243 -1138,86487198401 490,421395754452
-137,272436970063 -1134,35829482867 468,628357018321
-113,705296682471 -117,745281553249 188,96336729191
-445,803679498365 -1010,77224838688 923,687469459587
-28,3818728295223 -56,9252302352892 57,8790761618405
-60,6764875230588 -51,2756074496148 188,981946075643
233,237455329381 -271,163558036497 1549,24840300852
-12,1209277505629 45,2359181999724 46,5058578575972
4,23307382006843 67,2827816604699 46,6809209213292
23,1658368980875 2,27143016752166 -5,84676028286454
949,180964286009 366,258452019469 -297,506711456035
420,352499520558 198,699716228319 -154,66802810408
566,702779505219 382,245851294546 -415,615289503607
977,856448466371 -282,243761027174 -1221,5708025137
475,081547799657 -359,301352630365 -647,765436665366
422,645063593077 89,0652844041613 -1247,33256404794
-57,9663636409752 690,30301385151 -657,378619787535
