2
41
4
0.5D0
0.8D0
0.05D0
0.016D0
0.0 0.0 8.5 0.0 0.0 0.0
121.2 -21.6 770 -297 0.0 0.0
280.5 -32.9 49 274 0.0 0.0
302.8 -44.3 58 148 0.0 0.0
133.6 -31.3 840 -181 0.0 0.0
75.9 -73.6 925 -123 0.0 0.0
332.7 -75.7 1480 124 0.0 0.0
119.0 -3.3 825 -342 0.0 0.0
119.8 -14.3 725 -193 0.0 0.0
119.3 -26.2 760 -335 0.0 0.0
120.8 -14.5 620 -204 0.0 0.0
120.7 -21.1 815 -229 0.0 0.0
121.2 -22.0 805 -197 0.0 0.0
121.7 -24.9 805 -380 0.0 0.0
287.5 -83.2 79 102 0.0 0.0
126.8 -40.9 810 -272 0.0 0.0
129.8 -60.6 700 -234 0.0 0.0
128.9 -29.2 525 -188 0.0 0.0
272.2 -68.9 445 56 0.0 0.0
237.1 -65.7 138 53 0.0 0.0
144.7 +10.5 1300 -87 0.0 0.0
260.1 -22.2 101 224 0.0 0.0
196.9 +52.4 690 26 0.0 0.0
233.2 +43.8 1345 303 0.0 0.0
262.1 +23.1 1250 404 0.0 0.0
263.1 +22.3 1235 361 0.0 0.0
226.0 +49.1 250 286 0.0 0.0
246.2 +39.9 1440 325 0.0 0.0
243.5 +42.3 86 277 0.0 0.0
220.2 +67.2 205 76 0.0 0.0
310.7 +77.0 1590 215 0.0 0.0
105.0 +44.8 66 -248 0.0 0.0
86.4 +34.7 82 -293 0.0 0.0
5.6 -14.1 24 140 0.0 0.0
21.1 -16.3 1060 -79 0.0 0.0
25.3 -18.4 490 -54 0.0 0.0
34.0 -31.3 800 -137 0.0 0.0
343.9 -50.2 1590 124 0.0 0.0
322.9 -47.4 880 130 0.0 0.0
11.9 -70.9 1320 62 0.0 0.0
94.8 -43.5 955 -182 0.0 0.0
